"segment_id_to","name","description","status"
"Chf9lSBY9TnS","67","","0"
"EHnOwtEaxs5U","96-1","","0"
"Bb9Q8iASMAmq","Brandco_012","30日以内EC系来訪","0"
"Dw0ILADzEfgl","53","","0"
"DRtbejAfRq4r","re002","","0"
"BP305mEW25Tp","57","","0"
"B40XUpAPDDJT","round-within-3month","3か月以内にプレー予定があるユーザーセグメント","0"
"AoMOHpCHhg88","Brandco_011","30日以内広告経由来訪者","0"
"DRKRkXDZnZsh","lesson_14days","","0"
"BwvZxKAITVlG","firstreserve-high-calendarPVover3","2015年1月時点、RtoasterAdsとGDN連携に利用","0"
"AHAvJZC1RIIu","6_test","","0"
"CZehpSArMLYE","reserve_14days","","0"
"DwzmvRBVqO5d","firstbuy-7day-all","","0"
"EB7wfMDEnHxZ","Brandco_001","GDO180日以内来訪","0"
"EUfLbOBO0zep","reserve_30days","","0"
"As2pBBBRYyUH","Brandco_008","GDO会員","0"
"EjsGk1DuOUdc","reserve_180days","","0"
"D1oc3OEJCDYs","Brandco_016","30日以内キャンペーン応募者","0"
"Ac81QLDRlmfR","Brandco_014","30日以内ニュース系来訪者","0"
"AxTbmECTn1Kh","6_SP","アドコム用スマホ向け初回予約配信セグメント","0"
"Da8kNxBgy7tO","TestID_8","","0"
"ECHeEyBnsVUB","Brandco_006","予約メルマガ購読者","0"
"AFwReGEOFeEd","83","","0"
"DYQmH0BSSAxx","first-reserve-8-14day-topover3","","0"
"DDI7M1Ajwj5K","reserve_before_2011","","0"
"CmHpbIAhTglx","reserve_90days","","0"
"EbEsrqCogTxk","ルコックマンシングSegment1","","0"
"CcDzHHBZLnD2","lastyear_reserve","","0"
"B3NGNKCIUaMY","first-reserve-high-7days","2014年7月用（2013年7月実績ベース）","0"
"BRn0ZnAsUKO8","EC_LEVEL_0_USER","","0"
"DlOmefApaaEB","予約CV_0_USER","","0"
"BPVqXkCruI5z","64","","0"
"CocCpDDXZK0Y","150210CP_enq_thank_eccv1","PJ_150210ミズノCP応募完了_ECCVあり_0227","0"
"AjeBl5AgIb8y","9","","0"
"Ei6OvgC2Hg1d","firstbuy-7days-high","","0"
"DbRUhtBN3I3m","GDO_90days","","0"
"AHtJLtBIQ71W","EC_LEVEL_4_USER","","0"
"C1n0l8AgHt9l","ECCV_0_USER","","0"
"BQ50jnAL5NzU","150210CP_enq_thank_eccv0","PJ_150210ミズノCP応募完了_ECCVなし_0227","0"
"DtAVHPCX5bgo","first-reserve-high-PVover1","","0"
"Dkx7llBXYk0D","5-1B","","0"
"D1IoLPD3QuGV","11-2B","","0"
"EIjCLqDeVWjJ","Brandco_004","メルマガ購読者","0"
"ByaeunCGkiGL","150311_rec","PC_150311rec練習場ガイド_gdo会員かつrec会員","0"
"DGvZrlDpSTsN","lastyear_buy","2013年以降購入経験者","0"
"CapNtFD5sHhI","without5-3","","0"
"Ed7Ic5Cap0Fw","smart-first-reserve-high","","0"
"Dk2p8bBOl7NG","Brandco_002","EC稼動","0"
"AcQ2KnAInH8m","nor-60","Intimate Merger連携用","0"
"DIP5GWC5iUdV","nor-G60","Intimate Merger連携用、会員・予約なし","0"
"EYBosECoUPS9","nor-30","Intimate Merger連携用セグメント","0"
"BXD4I2Dp38CO","thisyear_reserve","","0"
"DQXty9B8CdCu","nor-G30","Intimate Merger連携用、会員・予約なし","0"
